code,code_name
SPL,스키폴
SPN,사이판
SPS,위치타
SSN,성남(서울공항)
STN,스텐스테드
STO,스톡홀룸
STP,세인트폴
STR,슈투트가르트
SUB,수라바야
SUU,트라비스
SUW,수원
SVO,모스코바/셰레메티예보
SVX,에카테린버그
SWA,산터우
SWF,뉴버그
SWU,수원
SYD,시드니
SYO,쇼나이
SYX,산야
SZB,술탄압둘아지즈
SZG,찰스부르크
SZX,선전
TAE,대구
TAK,다가마스
TAN,태안
TAO,칭다오
TAS,타쉬켄트
TCM,맥코드공군기지
TEB,티터보로
THR,테헤란
TIJ,티주아나
TIN,타이난
TIP,트리폴리
TJH,토요오카
TJM,티우멘
TKK,트럭
TKS,도쿠시마
TLC,톨루카
TLL,탈린
TLS,툴루즈
TLV,텔아비브
TNA,지난
TNN,타이완차이나
TOF,톰스크
TOJ,마드리드
TOL,톨레도
TOY,도야마
TPE,타이페이/타오위안
TRG,타우란자
TSE,아스타나
TSN,톈진
TTJ,토토리/돗토리
TTT,타이둥
TUL,털사
TUN,튀니즈
TUS,툭슨
TXG,타이쭝
TXL,테겔(베를린)
TXN,퉁치
TYN,타이유안
TYO,도쿄
UAB,인커릭
UAM,앤더슨공군기지
UBJ,우베
UFA,우파
UKC,페트로로파블로브스크
ULN,울란바토르
ULY,울야노브스크
UMO,오스타예보
UMW,카우나스
URC,우르무치
URT,수라트타니
USN,울산
USQ,우샤크
UTP,우타파오
UUD,울란우태
UUS,사할린
VBS,브레시아
VCE,베니스
VCV,빅터빌
VCX,브레시아
VIE,비엔나
VIT,빅토리아
VKO,모스크바/보누코보
VLC,발렌시아
VNY,밴나이즈
VTE,비엔티안
VVO,블라디보스토크
WAS,워싱턴
WAW,바르샤바
WEH,위해
WJU,횡성/원주
WKE,웨이크
WKJ,와카나이
WRO,브로츠와프
WUH,우한
XCR,샤론스
XFW,함부르크
XIY,시안
XMN,샤먼
XNA,페이트빌
XSP,셀레타
YCN,코흐레인
YEG,에드먼튼
YGJ,요나고
YHZ,헬리팍스
YIP,윌로우런
YKS,야쿠츠크
LGA,뉴욕라과디아
LGG,리에쥬비어셋
LGK,랑카위
LGW,런던개트윅
LHE,라호르
LHR,런던히드로
LIH,리후에
LIS,리스본
LIT,리틀락
KJA,크라스노얄스크
KJG,고창
KKI,아키아착
KKJ,키타큐슈/기타큐슈
KLD,미갈로프
KLO,칼리보
KMG,쿤밍
KMI,미야자키
KMJ,구마모토
KMQ,고마스
KOA,코나
KOJ,카고시마/가고시마
KOW,광조우
KPE,진해
KPO,포항
KRT,카툼
KSG,평택
KSK,수색
KSM,성남
KSW,수원
KTM,카투만두
KUA,쿠안탄
KUF,사마라
KUH,구시로
KUL,쿠알라룸푸르
KUN,카우나스
KUV,군산
KWE,구이양
KWG,로조바트카
KWI,쿠웨이트
KWJ,광주
KWL,계림
KXK,콤솜스크나무르
KZA,카자흐스탄
KZK,콤퐁
KZN,카잔
LAD,르완다
LAH,라부하
LAO,라오아그
LAS,라스베가스
LAX,로스앤젤레스
LBG,르부르제
LBU,라부안
LBV,리브르빌
LCA,라르나카
LCK,리켄백
LED,레닌그라드
LEJ,라이프치히
HSG,사가
IAB,미국
CMB,콜롬보
SFX,쇼헨필트
SHJ,샤자르
LGB,롱비치
OAK,오크랜드(미)
OKD,삿보로
NVI,나보이
SXF,베르린/베르린쇼휀필드
RTM,로테르담
CRQ,칼스바드
UJN,울진
WNZ,원저우
TSJ,쓰시마
TSA,타이페이/송산
KUO,쿠피오
BTS,브라티슬로바
OSR,오스트라바
USM,수라타니
RAK,마라케쉬
NLV,미콜라이프
FSZ,시즈오카
ZUH,주하이
GUW,아테라우
SAV,사바나
LIN,밀라노/밀라노리나테
TSV,타운스빌
GRK,킬린/킬린포트후드
RKT,라스알카마이
BRS,브리스톨
SGC,수르구트
POZ,포즈난
ISB,이슬라마바드
PNQ,푸네
KAO,쿠사모
LYS,리용
OAI,바그람/바그램
YYR,구즈베이
PAP,포르토프랭스/뚜성루브루뚜르
MZR,마자리사리프
FIH,킨샤사/킨샤사은질리
MAO,마나우스
BOD,보르도
BHX,버밍햄
LKO,루크노
LLA,룰레오
LLU,나푸나푸
LON,런던
LOS,라고스
LTN,런던루턴
LTS,오클라호마
LUG,루가노
LUK,신시내티
LUT,루톤
LUX,룩셈부르크
LYG,라용
MAA,마드라스
MAD,마드리드
MAJ,마주로
MAN,맨체스터
MBB,메반베스
MBC,마나도
MBE,마쯔모도
MCI,켄사스
MCO,울란도
MCT,무스카트
MCX,마하츠칼라
MDC,마나도
MDG,무단지앙
MDT,메스베이트
MDW,미드웨이
MDY,미드웨이나프
MEB,멜보른
MEL,멜보른
MEM,멤피스
MES,폴로니아
MEX,멕시코
MFM,마카오
MGF,마링가
MGM,몽고메리다넬리
MGQ,모가디슈
MHD,마슈하드
MHR,사크라멘토
MIA,마이애미
MIC,마이크로네시아
MIL,밀라노
MKC,캔사스시티
MKE,밀워키
MLA,몰타
MLE,말레
MMA,말모
MMB,메만베츠
MMJ,마쓰모또
MMK,물만스크
MMU,모리스타운
MMX,말모
MNL,마닐라
MNS,마나스
MOW,모스크바
MPK,목포
MQF,마크니토코르스크
MRG,마리바
MRS,마르세이유-프로방스
MRY,몬테레이
MSJ,미자와
MSP,미네아폴리스
CGP,치타공
CGQ,창춘
CHC,크리스트처칠
CHI,시카고
CHR,샤토루
CHS,찰스턴뮤니시플
CIA,로마
CIT,침켄트
CJJ,청주
CJU,제주
CKG,충칭
CKL,체칼로브스키
CKT,침켄트
CLT,샤롯테
CMF,쳄버리
CMH,콜롬부스
CNS,캐언스
CNX,치앙마이
CPH,코펜하겐
CPM,콤프톤
CPT,케이프타운
CRK,클라크필드
CRZ,차조우/투르크메나바드
CSX,창사
CTI,쿠이토쿠아나발레
CTS,삿포로
CTU,청두
CVG,신시내티
CYI,치아이
CZX,창저우
DAC,다카
DAD,다낭
DAL,달라스
DAR,다르에스살람
DAY,데이톤
DBV,두브로브니크
DCA,와싱턴국립
DDG,단동
DDJ,마즈야마
DEL,델리
DEN,덴버
DET,디트로이트
DFW,달라스
DGO,도루카
DHA,다란
DJE,제르바
DKR,다카르
DLC,다롄
DLH,덜루스
DMB,잠불
DME,도모데도보
DMK,돈무앙
DMM,담맘
DNA,오디나와
DOH,도하
DOV,도버체스올드
DPS,덴파사
DRS,드레스덴
DRW,다윈
DSM,디모인
DTT,디트로잇
DTW,디트로이트
DUB,더블린
DVO,다바오
DWF,데이톤
DWN,브루나이
DXB,두바이
DYG,장자제
YMX,몬트리얼
YNJ,옌지
YNT,옌타이
YNY,양양
YNZ,옌청
YOK,요코하마
YQG,윈저락
YQX,세인트토마스
YTO,토론토
YUL,몬트리올
YVR,뱅쿠버
YWG,위니펙
YXX,애보츠포드
YXY,화이트호스
YYC,캘거리
YYZ,토론토
YZD,다운스비위
YZF,옐로우나이프
ZRH,취리히
SSC,쇼우공군비행장
HMA,한티-만시스크
RJO,이와쿠니
PVU,유니시펄공항
CLD,칼스바드
IUD,알우데이드
PTK,폰티악
PTN,패터슨
PTY,토쿠멘
PUS,부산/김해
PUY,풀라
PVG,상하이/푸동
PWK,시카코
PWQ,파블로다
QOM,오미야
QPG,파야레버
RAM,라밍닝
REK,레이퀘빅
REP,씨엠립/시엠립
RGN,랑군
RIO,리오데자네이로
RIV,캘리포니아
RIX,리가
RMQ,타이중
RMS,램스타인
RNO,리노
ROG,로저스
OMA,오마하
OME,놈
OMS,옴스크
ONJ,오다테
ONT,온타리오
ORD,시카고
ORL,올랜도
ORY,오를리
OSA,오사카
OSC,오스코다
OSK,오스카
OSL,오슬로
OSN,오산
OSS,오쉬
OTP,부쿠레슈티
OVB,노보시비르스크
OZI,오자르
PAE,에버레트
PAR,파리
PBH,파로
PBI,웨스트팜비치
PDX,포틀랜드
PEC,펠리칸
PEE,볼쇼이사비
PEK,베이징/서우두
PEN,페낭
PES,페트로자보스크
PHC,포트하커트
PHI,시캠
PHL,필라델피아
PHX,피닉스
PIE,세인트피터즈버그
PIK,프레스트윅
PKC,페트로파블로브스키
PKO,코나
PMI,팔마라스팔마스
PNE,필라델피아
PNH,프놈펜/프롬펜
PNI,폼페이
POM,포트모레스비
TTN,트렌톤
WUX,우시
KDH,칸다하르
KBP,보리스필
PGU,아살루이예/페르시안걸프
JMU,자무쓰
CMA,퀸스랜드
BOG,보고타
CWB,아폰소페나
SUV,피지
CXR,나트랑/나트랑캄란
TNR,안타나리보
AWF,포스워스얼라이언스/포트워스얼라이언스
PDP,우루구아이
DOL,도빌
GRZ,그레츠
ZAG,자그레브
UPG,하사누딘
CBR,캔베라
INL,폴스
PTF,파보스
IBR,이바라키
YXE,새스커툰
NCL,뉴캐슬
MRU,모리셔스
ZAZ,사라고사
LIL,레스퀸
APW,팔로우
LPQ,루앙프라방
JYV,지바스킬라
KNH,진먼
CHQ,샤니아수다
APA,덴버/콘테니얼
COS,콜로라도
FAR,파고헥터
ZGC,란저우
SDM,브라운필드무니
SEZ,세이셀
DUR,더반/킹샤카
WKF,워터크루프
OOL,골드코스트
DPA,뒤파제
SHP,친황다오
SYZ,시라즈
AZI,아부다비
IPH,아포
XXN,리야드
MXE,맥스톤
BWE,브라운슈바이크
SUS,세인트루이스
ZLO,만자닐로
OER,오로스콜드수빅
MFE,텍사스/멕알렌
MXL,맥시칼리
BCD,바콜로드-실라이
VNS,바라나시
YFB,토론토/프로비셔만
INC,인촨(은천)
BED,배드포드
SCO,악타우
BGW,바그다드
MTY,몬테레이
XNN,시닝
ISN,슬로린필드
BIL,빌링스
MJI,트리폴리/미티가
NDG,치치하얼
WRI,라이츠타운
UKB,고베
BFR,시애틀
PDK,아틀란타
ATW,애플턴
AAE,안나바/라바비탯
TIM,템바가푸라/티미카
PNK,폰티아나크
BUF,버팔로
EBB,엔테베
JJN,취안저우/진장
NMT,남튜
JNU,알래스카/준오
NUQ,샌프란시스코/모페트
HPH,하이퐁
LJG,리지앙
TSF,트레비소
CMN,카사블링카
OAE,요꼬다/옴니버
IKA,테헤란/이맘호메이니
HSZ,신추공군기지
